# Logfile created on 2024-03-17 11:07:14 +0100 by logger.rb/v1.6.0
I, [2024-03-17T11:08:37.688191 #78003]  INFO -- : 59-seconds-en; 0.002043; 10 chapters
I, [2024-03-17T11:08:37.689272 #78003]  INFO -- : 60-seconds-and-youre-hired-en; 0.001062; 7 chapters
I, [2024-03-17T11:08:37.691379 #78003]  INFO -- : 7-business-habits-that-drive-high-performance-en; 0.002085; 9 chapters
I, [2024-03-17T11:08:37.693124 #78003]  INFO -- : 7-powers-en; 0.001727; 9 chapters
I, [2024-03-17T11:08:37.694958 #78003]  INFO -- : 7-strategies-for-wealth-and-happiness-en; 0.001806; 9 chapters
I, [2024-03-17T11:08:37.696304 #78003]  INFO -- : 8-secrets-to-powerful-manifesting-en; 0.001329; 10 chapters
I, [2024-03-17T11:08:37.697342 #78003]  INFO -- : 80-slash-20-internet-lead-generation-en; 0.001022; 8 chapters
I, [2024-03-17T11:08:37.698351 #78003]  INFO -- : 80-slash-20-sales-and-marketing-en; 0.000988; 6 chapters
I, [2024-03-17T11:08:37.699969 #78003]  INFO -- : a-better-world-inc-en; 0.001597; 10 chapters
I, [2024-03-17T11:08:37.701274 #78003]  INFO -- : a-bigger-prize-en; 0.001275; 8 chapters
I, [2024-03-17T11:08:37.703691 #78003]  INFO -- : a-biography-of-loneliness-en; 0.002397; 10 chapters
I, [2024-03-17T11:08:37.707189 #78003]  INFO -- : a-bone-to-pick-en; 0.003476; 8 chapters
I, [2024-03-17T11:08:37.708784 #78003]  INFO -- : a-brief-history-of-everyone-who-ever-lived-en; 0.001563; 10 chapters
I, [2024-03-17T11:08:37.711866 #78003]  INFO -- : a-brief-history-of-motion-en; 0.003064; 11 chapters
I, [2024-03-17T11:08:37.713198 #78003]  INFO -- : a-brief-history-of-thought-en; 0.001317; 9 chapters
I, [2024-03-17T11:08:37.716535 #78003]  INFO -- : a-brief-history-of-time-en; 0.003321; 14 chapters
I, [2024-03-17T11:08:37.717893 #78003]  INFO -- : a-city-on-mars-en; 0.001343; 7 chapters
I, [2024-03-17T11:08:37.719428 #78003]  INFO -- : a-complaint-free-world-en; 0.001519; 7 chapters
I, [2024-03-17T11:08:37.720596 #78003]  INFO -- : a-court-of-thorns-and-roses-en; 0.001147; 7 chapters
I, [2024-03-17T11:08:37.722035 #78003]  INFO -- : a-crack-in-creation-en; 0.001413; 10 chapters
I, [2024-03-17T11:08:37.723385 #78003]  INFO -- : a-cure-for-the-common-company-en; 0.001328; 9 chapters
